id,is_a
1,465
2,5156
3,161
4,4121
5,20
6,34922
7,4121
9,4923
10,11216
11,11216
12,11216
13,11216
14,34944
15,466
16,4119
17,13765
18,15165
19,15212
20,62
21,13703
22,21
23,26
24,2102
25,4111
26,475
29,5057
30,4923
31,4779
33,11676
35,1305
36,1305
37,1305
38,463
39,464
40,5057
41,10314
42,4120
43,7846
44,1800
45,61
46,47
47,970
48,47
49,47
50,47
51,2553
52,7702
53,64
54,479
55,4111
56,15212
57,4120
58,63
59,13765
60,64
61,465
62,10000
63,64
64,10000
65,1005
66,105
68,105
69,105
70,105
71,105
72,13522
73,481
74,4120
75,11216
76,5291
77,4120
78,4121
79,990
80,4120
81,4120
82,4120
83,6555
84,34969
85,922
86,5764
87,2050
88,2050
89,2050
90,2553
91,2050
92,105
93,464
94,62
95,5291
100,2050
101,9912
102,6876
106,105
107,105
108,105
109,105
110,105
111,105
112,105
113,105
114,4120
115,4815
116,64
117,25
118,5153
119,957
120,119
121,11822
122,5162
123,6804
124,11822
125,11215
126,2308
127,9662
128,10000
130,5744
144,5913
151,4710
152,4709
153,475
154,475
155,5156
156,5156
157,5156
158,4923
159,4111
160,4921
161,4111
162,13522
163,162
164,2050
165,4921
166,161
167,2553
168,4921
170,34925
171,62
172,36017
173,463
174,463
175,1087
176,463
177,463
178,179
179,6314
180,475
199,18664
200,34768
201,120
202,120
203,2616
204,2616
205,2535
206,2535
207,5389
209,11164
210,11164
211,62
212,1705
218,3861
219,5744
220,15212
221,6983
301,12467
303,11144
304,4923
305,5631
307,922
309,475
310,34929
311,14892
312,158
313,7391
314,317
315,464
316,912
317,1207
319,2050
320,1204
323,922
325,3294
326,456
328,60
329,21
331,1204
332,2371
333,3408
341,34929
344,4923
345,61
347,5162
348,11779
349,11216
351,8846
353,64
355,4785
358,2050
359,15251
361,2371
362,958
363,61
365,5911
366,14892
368,11144
369,2616
370,11144
371,2050
372,1498
373,2437
375,11779
376,8784
377,11779
378,14892
379,4785
381,4228
382,12177
383,11216
387,10000
388,13522
389,4121
390,34944
391,2360
392,4518
395,1714
396,14389
397,1278
398,3837
399,1204
400,13636
401,5913
402,2553
403,34921
407,15212
408,1807
409,2365
410,4785
411,8440011
412,479
414,2365
415,35965
416,464
420,488
423,10243
424,2553
426,2050
428,5911
429,1816
430,15234
431,10009
432,15234
433,1920
434,1920
435,6568
437,4923
439,440
440,64
442,1144
443,1144
444,1744
445,2616
446,5401
450,3982
451,2616
453,478
454,64
456,463
457,1637
458,5156
459,5156
460,19319
461,11826
463,1
464,466
465,1062
466,1062
467,61
468,10000
471,481
472,62
473,3135
474,990
475,10000
476,1
477,34923
478,5423
479,10000
480,61
481,10000
482,5764
483,479
484,10077
485,12274
486,483
487,6914
488,483
489,3103
490,483
491,3103
569,11185
642,8841
711,2377
908,5340
910,12112
911,463
912,6314
913,463
914,475
915,11676
916,9569
920,476
922,468
923,10316
924,923
925,923
926,923
927,923
929,11779
930,13522
931,16566
933,1630
934,5053
935,5341
936,11590
939,481
941,34713
942,11779
945,10039
946,10313
947,13768
948,10314
949,15204
950,11144
951,5174
955,4121
956,16548
957,479
958,471
959,7425
961,1807
962,1780
963,2536
964,10313
965,5389
966,5388
970,20
971,2536
972,15212
974,475
975,10363
976,15053
977,42
978,8784
979,15004
980,5913
981,15052
982,4905
983,9877
984,23
985,1638
987,26
988,2616
989,8811
990,467
991,3133
992,3134
993,5156
994,5156
995,13515
996,13515
997,5156
998,6868
999,15212
1000,5904
1001,7491
1002,476
1003,3000961
1004,467
1005,4111
1007,467
1008,8450002
1009,467
1010,4769
1011,463
1012,5913
1013,11822
1015,11216
1016,467
1017,11216
1018,11215
1019,122
1020,1018
1021,122
1027,1021
1028,4769
1031,119
1032,15203
1033,467
1035,2209
1037,21
1038,20
1040,7499
1041,4921
1042,6562
1043,13765
1044,10047
1045,4921
1046,4921
1047,11215
1048,5423
1049,16879
1051,13522
1052,4921
1053,10133
1054,9773
1056,1053
1057,2368
1058,477
1059,11215
1063,27331
1064,7329
1065,35048
1066,11135
1067,2217
1068,1085
1069,4119
1070,5396
1071,12320
1072,4087
1073,8410024
1074,35809
1075,16491
1076,6061
1077,6061
1078,6061
1079,6062
1080,6062
1081,2165
1082,2348
1083,2349
1084,12180
1085,14
1087,36244
1088,174
1089,6314
1090,7794
1091,10314
1092,2412
1093,2412
1094,15010
1095,18142
1096,328
1097,3968
1098,1091
1099,1638
1100,1495
1101,4711
1102,1956
1103,3831
1104,4711
1105,15212
1106,35550
1107,8523
1108,8523
1109,8523
1110,8523
1111,8450004
1112,34908
1113,9912
1114,1113
1115,1113
1116,1114
1117,1114
1118,15212
1119,1118
1120,1118
1121,5178
1122,4518
1123,2377
1125,34908
1126,11217
1127,11217
1128,11364
1129,34908
1130,75
1131,4111
1132,2368
1133,8600006
1134,2036
1135,2385
1136,12275
1137,475
1138,5617
1139,15212
1140,1638
1141,1140
1142,1140
1143,15796
1144,15212
1145,15212
1146,1638
1148,3433
1149,466
1150,64
1151,64
1152,3703
1153,9854
1154,13765
1155,4921
1156,168
1157,168
1158,168
1159,168
1160,9870
1161,9870
1162,9870
1163,9870
1164,9870
1165,9870
1166,9870
1167,328
1168,1262
1169,1262
1170,7826
1171,9911
1172,11858
1173,13765
1174,3703
1175,3703
1176,3703
1177,3703
1178,22350
1179,35809
1180,2553
1181,2553
1182,5616
1183,35039
1184,12254
1185,1184
1186,1184
1187,10192
1188,3468
1189,3468
1190,1637
1191,12254
1192,1637
1193,1637
1194,1637
1195,9658
1196,1637
1197,1637
1198,5624
1199,4786
1200,18257
1201,4782
1202,11185
1203,6676
1204,1242
1205,9566
1206,1243
1207,1242
1208,9566
1209,1243
1210,4239
1211,1962
1212,11148
1213,4923
1214,2017
1215,5617
1216,2017
1217,2017
1218,2017
1219,1217
1220,4518
1221,2461
1222,56
1223,56
1224,4111
1225,1851
1226,6517
1227,6517
1228,64
1229,63
1230,64
1231,9773
1232,6555
1233,2369
1234,2369
1235,4120
1236,10313
1237,12279
1238,4780
1239,4220
1240,6676
1241,1983
1242,4786
1243,4782
1244,12368
1245,4121
1246,3704
1247,13139
1248,4885
1249,444
1250,1000023
1251,64
1252,5742
1253,30
1254,365
1255,18707
1256,60
1257,64
1258,1560
1259,344
1260,42
1261,30
1262,328
1263,13232
1264,2075
1265,440
1266,64
1267,3431
1268,36217
1269,5913
1270,75
1271,15212
1272,15212
1273,15212
1274,15212
1275,15212
1276,15833
1277,4808
1278,1277
1279,34921
1280,4119
1281,15796
1282,14716
1283,464
1284,64
1285,64
1286,464
1287,12275
1288,7685
1289,7685
1290,9035
1291,9035
1292,12275
1293,64
1294,64
1295,19042
1296,34933
1297,5156
1298,8450
1299,35651
1300,34929
1301,5904
1302,3889
1303,3889
1304,4911
1305,8450001
1306,34922
1307,5156
1308,5609
1309,5609
1310,10260
1311,9027
1312,9027
1313,1637
1314,1637
1315,1637
1316,5610
1317,5610
1318,2460
1319,5156
1320,1638
1321,1638
1322,1021
1323,3431
1324,35652
1325,5179
1326,1325
1327,15212
1328,9912
1329,1328
1330,1593
1331,5156
1332,11374
1333,57
1334,57
1335,13522
1336,13522
1337,13522
1338,414
1339,2379
1340,5156
1341,63
1342,5156
1343,5904
1344,4804
1346,5156
1347,1013
1348,1013
1349,2553
1350,8001
1351,34944
1352,4111
1353,475
1354,6349
1355,1637
1356,1637
1357,35039
1358,1637
1359,7779
1360,35552
1361,3516
1362,1638
1363,7318
1365,15212
1366,22351
1367,7522
1368,11144
1369,1497
1370,11645
1371,2000
1372,8450
1373,1630
1374,2463
1375,2463
1376,2000
1377,3663
1378,1377
1379,1377
1380,1377
1381,2463
1382,11144
1383,3663
1384,2616
1385,8230
1386,3663
1387,9132
1388,4256
1389,4256
1390,1637
1391,1383
1392,1383
1393,2616
1394,1637
1395,1637
1396,1637
1397,1637
1398,1637
1399,3507
1400,2251
1401,392
1402,392
1403,392
1404,1637
1405,11013
1406,1637
1407,11017
1408,11017
1409,11017
1410,6141
1411,35550
1412,4563
1413,3507
1414,1411
1415,3836
1416,3836
1417,14
1418,1085
1419,14
1420,1638
1421,15212
1422,1473
1423,15001
1424,15003
1425,1473
1426,1473
1427,1480
1428,1480
1429,7997
1430,15084
1431,15087
1432,15090
1433,15093
1434,11216
1435,15049
1436,15024
1437,5055
1438,5055
1439,2481
1440,7272
1441,7273
1442,6717
1443,9569
1444,475
1445,6717
1446,15013
1447,15050
1448,15036
1449,15030
1450,15014
1451,12131
1452,15102
1453,15105
1454,15108
1455,10721
1456,1444
1457,1000021
1458,1000021
1459,1084
1460,8785
1461,8785
1463,19231
1464,475
1465,8784
1466,2544
1467,475
1468,2216
1469,11965
1470,16884
1471,1331
1472,6876
1473,55
1474,4765
1476,34908
1477,34908
1478,10467
1479,13631
1480,15078
1481,18102
1482,14892
1483,14
1484,94
1485,11139
1486,11107
1487,11139
1488,11139
1489,11139
1490,11139
1491,1489
1492,3433
1493,3433
1494,3433
1495,8196
1496,1515
1497,10890
1498,3663
1499,3662
1500,3662
1501,14375
1502,14375
1503,1502
1504,14378
1505,4255
1506,1499
1507,4255
1508,1515
1509,34908
1510,1511
1511,3532
1512,1513
1513,15790
1514,5800
1515,5800
1516,5800
1517,2427
1518,1519
1519,15790
1520,3662
1521,4254
1522,4254
1523,4255
1524,11867
1525,11867
1526,11024
1527,11534
1528,11139
1529,4573
1530,4573
1531,1530
1532,5396
1533,4573
1534,15212
1535,2458
1536,1530
1537,7610
1538,7610
1539,3516
1540,35292
1541,3516
1542,5173
1543,16398
1544,1638
1545,10370
1546,10370
1547,7318
1548,1638
1549,1638
1550,1638
1551,4261
1552,3644
1553,3521
1554,14
1555,25
1556,11216
1557,72
1558,72
1560,34944
1561,4573
1562,8571
1563,8549
1564,18544
1565,11151
1566,6328
1567,34929
1568,3831
1569,933
1570,1569
1571,4120
1572,1575
1573,1575
1574,3682
1575,378
1576,4120
1577,15789
1578,4277
1579,4121
1580,1577
1581,15212
1582,1577
1583,1595
